キャラクター名	ボンドロ	マシュマロ	合計
いちごにゃん	15	15	30
きらきらシャボンうさぎ	15	15	30
きらぼし	15	15	30
くまグミ	15	15	30
けいとにゃん	15	15	30
ころりんご	15	15	30
さくらんぼーず	15	15	30
しゃぼんちゃん	15	15	30
しゅわぴー	15	15	30
とろりんプリンひよこ	15	15	30
にじたま	15	15	30
ねこマカロン	15	15	30
ねりあめちゃん	15	15	30
ふわふわコットンキャンディねこ	15	15	30
ふわもくん	15	15	30
ふわもちパン	15	15	30
ふわりぼん	15	15	30
ぷちぷちにゃん	15	15	30
ぷにねこ	15	15	30
ぷりんぬ	15	15	30
ぷるるん	15	15	30
ほわほわん	15	15	30
ぽよたまご	15	15	30
ぽよまる	15	15	30
もこたんぽぽ	15	15	30
もちぷに	15	15	30
もっちも	0	0	0
もふもふポップコーンぴよ	15	6	21
ゆめくも	15	15	30
ゆめくらげ	15	15	30
ゆめひつじ	15	15	30
ウールン	0	0	0
キノぼう	0	0	0
クリームソーダちゃん	14	12	26
コケボ	0	0	0
サニたん	0	0	0
スタラ	0	0	0
チャックン	0	0	0
トイラン	0	0	0
ドロル	0	0	0
ビー玉にゃんこ	14	15	29
ポフン	0	0	0
ポリ	0	0	0
リボンちゃん	15	15	30
ルミナ・スターダスト	0	0	0

総計: 976枚
